,Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
58102,2020-01-05,SE,Sweden,EURO,0.0,0,0.0,0
58103,2020-01-12,SE,Sweden,EURO,0.0,0,0.0,0
58104,2020-01-19,SE,Sweden,EURO,0.0,0,0.0,0
58105,2020-01-26,SE,Sweden,EURO,0.0,0,0.0,0
58106,2020-02-02,SE,Sweden,EURO,0.0,0,0.0,0
58107,2020-02-09,SE,Sweden,EURO,1.0,1,0.0,0
58108,2020-02-16,SE,Sweden,EURO,0.0,1,0.0,0
58109,2020-02-23,SE,Sweden,EURO,0.0,1,0.0,0
58110,2020-03-01,SE,Sweden,EURO,13.0,14,0.0,0
58111,2020-03-08,SE,Sweden,EURO,165.0,179,0.0,0
58112,2020-03-15,SE,Sweden,EURO,815.0,994,3.0,3
58113,2020-03-22,SE,Sweden,EURO,875.0,1869,35.0,38
58114,2020-03-29,SE,Sweden,EURO,1795.0,3664,163.0,201
58115,2020-04-05,SE,Sweden,EURO,3169.0,6833,404.0,605
58116,2020-04-12,SE,Sweden,EURO,3616.0,10449,652.0,1257
58117,2020-04-19,SE,Sweden,EURO,3828.0,14277,667.0,1924
58118,2020-04-26,SE,Sweden,EURO,4291.0,18568,559.0,2483
58119,2020-05-03,SE,Sweden,EURO,3871.0,22439,542.0,3025
58120,2020-05-10,SE,Sweden,EURO,4135.0,26574,511.0,3536
58121,2020-05-17,SE,Sweden,EURO,3889.0,30463,401.0,3937
58122,2020-05-24,SE,Sweden,EURO,3708.0,34171,368.0,4305
58123,2020-05-31,SE,Sweden,EURO,4225.0,38396,270.0,4575
58124,2020-06-07,SE,Sweden,EURO,5824.0,44220,259.0,4834
58125,2020-06-14,SE,Sweden,EURO,7167.0,51387,240.0,5074
58126,2020-06-21,SE,Sweden,EURO,7170.0,58557,205.0,5279
58127,2020-06-28,SE,Sweden,EURO,7361.0,65918,137.0,5416
58128,2020-07-05,SE,Sweden,EURO,4379.0,70297,112.0,5528
58129,2020-07-12,SE,Sweden,EURO,2388.0,72685,85.0,5613
58130,2020-07-19,SE,Sweden,EURO,1618.0,74303,58.0,5671
58131,2020-07-26,SE,Sweden,EURO,1384.0,75687,35.0,5706
58132,2020-08-02,SE,Sweden,EURO,1560.0,77247,17.0,5723
58133,2020-08-09,SE,Sweden,EURO,1979.0,79226,17.0,5740
58134,2020-08-16,SE,Sweden,EURO,2062.0,81288,20.0,5760
58135,2020-08-23,SE,Sweden,EURO,1693.0,82981,16.0,5776
58136,2020-08-30,SE,Sweden,EURO,1209.0,84190,10.0,5786
58137,2020-09-06,SE,Sweden,EURO,1313.0,85503,12.0,5798
58138,2020-09-13,SE,Sweden,EURO,1553.0,87056,14.0,5812
58139,2020-09-20,SE,Sweden,EURO,2053.0,89109,10.0,5822
58140,2020-09-27,SE,Sweden,EURO,2885.0,91994,14.0,5836
58141,2020-10-04,SE,Sweden,EURO,3653.0,95647,15.0,5851
58142,2020-10-11,SE,Sweden,EURO,4273.0,99920,23.0,5874
58143,2020-10-18,SE,Sweden,EURO,5460.0,105380,17.0,5891
58144,2020-10-25,SE,Sweden,EURO,8962.0,114342,36.0,5927
58145,2020-11-01,SE,Sweden,EURO,17691.0,132033,68.0,5995
58146,2020-11-08,SE,Sweden,EURO,24605.0,156638,157.0,6152
58147,2020-11-15,SE,Sweden,EURO,31835.0,188473,218.0,6370
58148,2020-11-22,SE,Sweden,EURO,31103.0,219576,312.0,6682
58149,2020-11-29,SE,Sweden,EURO,35229.0,254805,426.0,7108
58150,2020-12-06,SE,Sweden,EURO,37787.0,292592,445.0,7553
58151,2020-12-13,SE,Sweden,EURO,42377.0,334969,510.0,8063
58152,2020-12-20,SE,Sweden,EURO,45482.0,380451,622.0,8685
58153,2020-12-27,SE,Sweden,EURO,37678.0,418129,638.0,9323
58154,2021-01-03,SE,Sweden,EURO,41777.0,459906,679.0,10002
58155,2021-01-10,SE,Sweden,EURO,39883.0,499789,635.0,10637
58156,2021-01-17,SE,Sweden,EURO,30002.0,529791,629.0,11266
58157,2021-01-24,SE,Sweden,EURO,23325.0,553116,523.0,11789
58158,2021-01-31,SE,Sweden,EURO,20638.0,573754,401.0,12190
58159,2021-02-07,SE,Sweden,EURO,19755.0,593509,279.0,12469
58160,2021-02-14,SE,Sweden,EURO,21083.0,614592,206.0,12675
58161,2021-02-21,SE,Sweden,EURO,23225.0,637817,179.0,12854
58162,2021-02-28,SE,Sweden,EURO,27037.0,664854,142.0,12996
58163,2021-03-07,SE,Sweden,EURO,27531.0,692385,137.0,13133
58164,2021-03-14,SE,Sweden,EURO,28966.0,721351,136.0,13269
58165,2021-03-21,SE,Sweden,EURO,32493.0,753844,131.0,13400
58166,2021-03-28,SE,Sweden,EURO,37479.0,791323,127.0,13527
58167,2021-04-04,SE,Sweden,EURO,38914.0,830237,145.0,13672
58168,2021-04-11,SE,Sweden,EURO,40200.0,870437,130.0,13802
58169,2021-04-18,SE,Sweden,EURO,40911.0,911348,142.0,13944
58170,2021-04-25,SE,Sweden,EURO,36788.0,948136,127.0,14071
58171,2021-05-02,SE,Sweden,EURO,35344.0,983480,123.0,14194
58172,2021-05-09,SE,Sweden,EURO,33738.0,1017218,103.0,14297
58173,2021-05-16,SE,Sweden,EURO,26165.0,1043383,114.0,14411
