Entity,Code,Day,COVID-19 doses (cumulative)
Sweden,SWE,2021-01-03,2478
Sweden,SWE,2021-01-17,132915
Sweden,SWE,2021-01-24,249734
Sweden,SWE,2021-01-31,341322
Sweden,SWE,2021-02-07,441832
Sweden,SWE,2021-02-14,560304
Sweden,SWE,2021-02-21,715504
Sweden,SWE,2021-02-28,872614
Sweden,SWE,2021-03-07,1063238
Sweden,SWE,2021-03-14,1285158
Sweden,SWE,2021-03-21,1460252
Sweden,SWE,2021-03-28,1659155
Sweden,SWE,2021-04-04,1925792
Sweden,SWE,2021-04-11,2273034
Sweden,SWE,2021-04-18,2749413
Sweden,SWE,2021-04-25,3191230
Sweden,SWE,2021-05-02,3592072
Sweden,SWE,2021-05-09,4051876
Sweden,SWE,2021-05-16,4478725
Sweden,SWE,2021-05-23,4934139
Sweden,SWE,2021-05-30,5420100
Sweden,SWE,2021-06-06,6006634
Sweden,SWE,2021-06-13,6689145
Sweden,SWE,2021-06-20,7463760
Sweden,SWE,2021-06-27,8102654
Sweden,SWE,2021-07-04,8837474
Sweden,SWE,2021-07-11,9435951
Sweden,SWE,2021-07-18,9947464
Sweden,SWE,2021-07-25,10392715
Sweden,SWE,2021-08-01,10792763
Sweden,SWE,2021-08-08,11197704
Sweden,SWE,2021-08-15,11670081
Sweden,SWE,2021-08-22,12194528
Sweden,SWE,2021-08-29,12671501
Sweden,SWE,2021-09-05,13046186
Sweden,SWE,2021-09-12,13331760
Sweden,SWE,2021-09-19,13571536
Sweden,SWE,2021-09-26,13756728
Sweden,SWE,2021-10-03,13912506
Sweden,SWE,2021-10-10,14058691
Sweden,SWE,2021-10-17,14265541
Sweden,SWE,2021-10-24,14466887
Sweden,SWE,2021-10-31,14670059
Sweden,SWE,2021-11-07,14800722
Sweden,SWE,2021-11-14,15115268
Sweden,SWE,2021-11-21,15520144
Sweden,SWE,2021-11-28,15947914
Sweden,SWE,2021-12-05,16382000
Sweden,SWE,2021-12-12,16850476
Sweden,SWE,2021-12-19,17388248
Sweden,SWE,2021-12-26,17617810
Sweden,SWE,2022-01-02,17797080
Sweden,SWE,2022-01-09,18032592
Sweden,SWE,2022-01-16,18505616
Sweden,SWE,2022-01-23,19053132
Sweden,SWE,2022-01-30,19521204
Sweden,SWE,2022-02-06,19911500
Sweden,SWE,2022-02-13,20209276
Sweden,SWE,2022-02-20,20409962
Sweden,SWE,2022-02-27,20575444
Sweden,SWE,2022-03-06,20717328
Sweden,SWE,2022-03-13,20851202
Sweden,SWE,2022-03-20,21022442
Sweden,SWE,2022-03-27,21139588
Sweden,SWE,2022-04-03,21232372
Sweden,SWE,2022-04-10,21436858
Sweden,SWE,2022-04-17,21626232
Sweden,SWE,2022-04-24,21842506
Sweden,SWE,2022-05-01,22064888
Sweden,SWE,2022-05-08,22231492
Sweden,SWE,2022-05-15,22361852
Sweden,SWE,2022-05-22,22466710
Sweden,SWE,2022-05-29,22536422
Sweden,SWE,2022-06-05,22598496
Sweden,SWE,2022-06-12,22643246
Sweden,SWE,2022-06-19,22684284
Sweden,SWE,2022-06-26,22710196
Sweden,SWE,2022-07-03,22736876
Sweden,SWE,2022-07-10,22761670
Sweden,SWE,2022-07-17,22790244
Sweden,SWE,2022-07-24,22811124
Sweden,SWE,2022-07-31,22830564
Sweden,SWE,2022-08-07,22848552
Sweden,SWE,2022-08-14,22865120
Sweden,SWE,2022-08-21,22883344
Sweden,SWE,2022-08-28,22910892
Sweden,SWE,2022-09-04,23082060
Sweden,SWE,2022-09-11,23403332
Sweden,SWE,2022-09-18,23716248
Sweden,SWE,2022-09-25,24024084
Sweden,SWE,2022-10-02,24294764
Sweden,SWE,2022-10-09,24505420
Sweden,SWE,2022-10-16,24678420
Sweden,SWE,2022-10-23,24817916
Sweden,SWE,2022-10-30,24929604
Sweden,SWE,2022-11-06,24994910
Sweden,SWE,2022-11-13,25086592
Sweden,SWE,2022-11-20,25166648
Sweden,SWE,2022-11-27,25230500
Sweden,SWE,2022-12-04,25288836
Sweden,SWE,2022-12-11,25362396
Sweden,SWE,2022-12-18,25452536
Sweden,SWE,2022-12-25,25511046
Sweden,SWE,2023-01-08,25543848
Sweden,SWE,2023-01-15,25589520
Sweden,SWE,2023-01-22,25619848
Sweden,SWE,2023-01-29,25637656
Sweden,SWE,2023-02-05,25649376
Sweden,SWE,2023-02-12,25658608
Sweden,SWE,2023-02-19,25667420
Sweden,SWE,2023-02-26,25673732
Sweden,SWE,2023-03-05,25704472
Sweden,SWE,2023-03-12,25756028
Sweden,SWE,2023-03-19,25814336
Sweden,SWE,2023-03-20,25883866
Sweden,SWE,2023-03-27,25934304
Sweden,SWE,2023-04-03,25963806
Sweden,SWE,2023-04-10,25996594
Sweden,SWE,2023-04-17,26038904
Sweden,SWE,2023-04-24,26080176
Sweden,SWE,2023-05-01,26107964
Sweden,SWE,2023-05-08,26135136
Sweden,SWE,2023-05-15,26150492
Sweden,SWE,2023-05-22,26172044
Sweden,SWE,2023-05-29,26189432
Sweden,SWE,2023-06-05,26197212
Sweden,SWE,2023-06-12,26206192
Sweden,SWE,2023-06-19,26210294
Sweden,SWE,2023-06-26,26214096
Sweden,SWE,2023-07-03,26216564
Sweden,SWE,2023-07-10,26218364
Sweden,SWE,2023-07-17,26219938
Sweden,SWE,2023-07-24,26221472
Sweden,SWE,2023-07-31,26222992
Sweden,SWE,2023-08-07,26225530
Sweden,SWE,2023-08-14,26230144
Sweden,SWE,2023-08-21,26236224
Sweden,SWE,2023-08-28,26240848
Sweden,SWE,2023-09-04,26245420
Sweden,SWE,2023-09-11,26249272
Sweden,SWE,2023-09-18,26252500
Sweden,SWE,2023-09-25,26255146
Sweden,SWE,2023-10-02,26257870
Sweden,SWE,2023-10-09,26267636
Sweden,SWE,2023-10-16,26281376
Sweden,SWE,2023-10-23,26332172
Sweden,SWE,2023-10-30,26401248
